Pattern String,Comment,Pattern Category,Where in website?,Deceptive?,Website Page
Only 11 left!,Product detail,Scarcity,Product Page,No,https://herschel.ca/shop/backpacks/nova-backpack-mid-volume?v=10503-02522-OS
,"Navigation option. Seem to be sourced from Instagram influencers. The website also has a influencer marketing campaign option on its page. Also search for #teamhairfinity on instagram, many have #ad.",Social Proof,Other Page,No,https://www.hairfinity.com/us/en/testimonials/
80% offers claimed. Hurry up!,Sidewheel popup,Scarcity,Product Page,No,https://fuzz.online/products/fg-grater
Only 11 Left In Stock,Product detail,Scarcity,Cart Page,No,https://www.netmeds.com/non-prescriptions/gnc-pro-performance-amp-amplified-wheybolic-extreme-60-original-cookies-n-cream-3lb
30 people have purchased this item,Right side of page,Social Proof,Product Page,No,https://vickypick.com/collections/beauty/products/magnetic-shoe-insoles
ONLY 2 LEFT,Product detail,Scarcity,Cart Page,No,https://www.papayaclothing.com/p/papaya-best-sellers/polka-dot-keyhole-detail-top111?1=1&color_id=155&size_id=1
Only 2 left,Product detail,Scarcity,Product Page,No,https://www.videolinks.com/laowa-front-led-ring-light-for-25mm-ultra-macro
,Shipping,Urgency,Product Page,No,https://grandwesternsteaks.com
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://fragrancenet.com
"2,221 people have purchased this item",Right side popup,Social Proof,Product Page,No,https://retro-stage.com/products/1950s-lace-3-4-sleeve-swing-dress-1
"Only 5 left , In Stock",Product detail,Scarcity,Product Page,No,https://www.fullbeauty.com/products/the-jinal-wide-calf-boot-by-comfortview/1032810-C.html#cgid=FBB_Shoes_Shop%20_By_Brand_Comfortview
Limited stock!,Product detail,Scarcity,Product Page,No,https://www.bulbhead.com/products/hurricane-spin-duster-2-pack
No thanks. I love chaos!,Popup,Misdirection,Product Page,No,https://www.bluesky.com/collections/noteworthy-recs/products/2019-noteworthy-layered-brushstrokes-8-5-x-11-weekly-hardcover-6-in-1-planner
Only 1 Left!,Product detail,Scarcity,Product Page,No,https://www.rebeccataylor.com/la-vie-yarn-dyed-striped-jersey-tee/019357B916.html?dwvar_019357B916_color=BLKCOM&cgid=shop-the-collection
Popular item! 🔥 27 people recently purchased this.,Product detail,Social Proof,Product Page,No,https://riotsociety.com/collections/st-patricks-day-beer-stein-collection/products/hold-my-beer-stein-embroidered-mens-long-sleeve-t-shirt
Only 2 Left in Stock,Product detail,Scarcity,Product Page,No,https://www.pssl.com/ADJ-American-DJ-32-Hex-Panel-IP-32-x-12W-LED-IP65-Wash-Panel
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Product Page,No,https://hackettequipment.com/collections/all-products/products/heavy-duty-range-bag-large-tactical-backpack
Only 8 left!,Product detail,Scarcity,Product Page,No,https://vanness1938.com/products/colorverse-40-girls-just-wanna-for-opus-88-demo
,Sale,Urgency,Product Page,No,https://www.blipshift.com
,Sale,Urgency,Product Page,No,https://www.carandtruckremotes.com
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,Product detail. Resets.,Urgency,Product Page,Yes,https://www.ottega.com/collections/watches/products/the-immaculate?variant=29803056914
,Sale,Urgency,Product Page,No,https://www.macmall.com
"No thanks, I don't like exclusive offers",Popup,Misdirection,Product Page,No,https://www.qmuniforms.com/carhartt-men-s-thermal-lined-duck-active-jacket#.XFTMzYVOkb0
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,Product detail,Urgency,Product Page,Yes,https://begears.com/products/audio-transmission-set-for-guitar-bass-violin?variant=15210532077611
ONLY 3 LEFT,Product detail,Scarcity,Product Page,No,https://www.justfab.co.uk/products/Long-Sleeve-Top-With--Twist-Detail-KT1830554-7807?psrc=Seasonal_Shop_UK_-_Essential_Story_-_Template_1_-_1808
2 customers recently bought it,Product detail,Social Proof,Product Page,No,https://www.stylepit.com/vans-black-ua-sk8-hi-black-blac-335337-4
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,Adds free item to inflate discount,Misdirection,Product Page,No,https://www.adameve.com/adult-sex-toys/vibrators/clit-vibrators/sp-satisfyer-pro-next-generation-104151.aspx
No I'd rather not hear about exclusive offers and discounts.,The negative option about signing in to cart is grayed out,Misdirection,Checkout Process,No,https://www.greenfingers.com/purchase/logon.asp?err=a0&backto=CHECKOUT
Only 8 left,Produt detail,Scarcity,Product Page,No,https://www.apexgunparts.com/more/optics-mounts/scopes/german-hensoldt-wetzlar-zf-scope-with-mount-9621.html
Limited stock available,Product detail,Scarcity,Product Page,No,https://www.wolfandbadger.com/us/wide-brim-straw-hat_57cm/
Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://www.dynastynerds.com/product-category/apparel/
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.shop-gocase.com
Only 1 left in Stock!,Product detail,Scarcity,Product Page,No,https://www.tjori.com/p/blue-and-beige-kalamkari-print-tote-bag-with-jute-fringes/57451/
Only 8 left,Product detail,Scarcity,Product Page,No,https://mejuri.com/shop/products/boss-signet-london-blue-topaz
ONLY 2 LEFT,Product detail,Scarcity,Product Page,No,https://www.papayaclothing.com/p/papaya-best-sellers/polka-dot-keyhole-detail-top111?1=1&color_id=155&size_id=1
"No, I don't feel lucky",Sidewheel popup,Misdirection,Product Page,No,https://fuzz.online/products/fg-grater
I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,,Forced Action,Checkout Process,No,https://www.naturallife.com/you-make-the-world-a-better-place-bud-vase.html
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.readymaderc.com/collections/readymade-prebuilt-fpv-systems-starter-pro-shop-builds
Only 4 left,Product detail,Scarcity,Product Page,No,https://www.mossberg.com/store/835-ulti-full-12-gauge-barrel-fo-sights-20-mo-mossy-oak-obsession-17243ob.html
,Shipping,Urgency,Product Page,No,https://www.pavers.co.uk
5 left,Product detail,Scarcity,Product Page,No,https://www.onepiece.com/en-us/all/terry-churchill-jumpsuit-vintage-green
7 sold in last 24 hours,Product detail,Social Proof,Product Page,No,https://www.ebay.co.uk/itm/BTW-Back-To-Wall-Pan-Round-Toilet-WC-Modern-Quick-Release-Soft-Close-Seat-White/222848306763?var=521687645552&_trkparms=%26rpp_cid%3D5c49d4f39cd215576d53f0e1%26rpp_icid%3D5c472d2b8fa6f916a19fa70a
Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.,Banner. Cart expires after countdown.,Urgency,Product Page,No,https://www.freeshipdeals.com/products/magic-toy-truck
"If you wish to cancel a membership, please contact our Customer Services Department on UK: +44 808 164 8264 (standard local call charges will apply) or via email on customer.service@beautypie.com. You can also contact the Customer Services Department by post at: Beauty Pie Limited, Customer Service Department, The Point, 210 New Kings Road, London SW6 5NZ, United Kingdom. Please quote your order number in all correspondence.",Call to cancel,Obstruction,Other Page,No,https://www.beautypie.com/help
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),"Periodic popup, hardcoded in the page source",Social Proof,Product Page,Yes,https://savethebeesproject.com/products/limited-edition-honeycomb-heart-necklace-bee-inspired
"Only 1 left , In Stock",Product detail,Scarcity,Product Page,No,https://www.brylanehome.com/products/bh-studio-water-repellent-microfiber-extra-long-sofa-protector/1034429-C.html#cgid=BH_Clearance
,Adds products to cart worth $30 even though $20 is the minimum for a purchase with the VIP membership,Misdirection,Product Page,No,https://www.grove.co/catalog/product/meyers-hand-lotion/?v=1308
"No Thanks, I'll let this offer sail away",Popup,Misdirection,Product Page,No,https://www.saltlife.com/sale/metal-seas-slx-uvapor-long-sleeve-pocket-tee-slm6034.html
166 people have added this item to cart,Popup right side,Social Proof,Product Page,No,https://kbdfans.cn/collections/keyboard-part/products/kbdfans-72-switches-tester-all-in-one
ONLY 2 LEFT,Product detail,Scarcity,Product Page,No,https://www.forplaycatalog.com/p/Valentines-Day-Dresses/Ya-Live-and-Ya-Lace-Mini-Dress/175849.html
"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",Periodic popup,Social Proof,Product Page,No,https://www.lighterusa.com/collections/mods-kits/products/pax-era
"Jeremy in Warroad, United States purchased a",Periodic popup,Social Proof,Product Page,No,https://ultimategametable.com/collections/elite-series/products/copy-of-table-of-ultimate-gaming-3-5-elite-series-standard-table-height?variant=12354495217752
Hurry Up ! Just 2 Items Left in stock,Product detail. Decrements.,Scarcity,Product Page,Yes,https://stayclassy.in/product/handsome-hipster-xiaomi-redmi-note-5-pro-mobail-case/
ONLY 1 LEFT IN STOCK!,Product detail,Scarcity,Product Page,No,https://ironandresin.com/collections/iron-cloth/products/tamarack-fleece?variant=12521477210184
Limited time offer,Product detail,Urgency,Product Page,No,https://myfave.com/kuala-lumpur/chir-chir-malaysia-1-108-00-pavilion-elite-chir-chir-malaysia-rm100-cash-voucher-for-korean-fried-chicken-and-more-42766?referral=featured
"Michael M. from Lacey, WA just bought a Cal King",Right corner,Social Proof,Product Page,No,https://www.dreamcloudsleep.com/mattress
Only 25 Deals left,Produt detail,Scarcity,Product Page,No,https://www.marideal.mu/voila-bagatelle.html
,Sale,Urgency,Product Page,No,https://thgrow.com
ONLY 2 LEFT,Product detail,Scarcity,Product Page,No,https://www.justhype.co.uk/products/hype-purple-speckle-fade-men-s-pullover-hoodie-441591
4 sold in last 5 hours,Above product detail. Hardcoded in JS.,Social Proof,Product Page,Yes,https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36
"No thanks, I don't like discounts",Popup,Misdirection,Product Page,No,https://www.kingsizedirect.com/products/easy-movement-two-button-jacket-by-ks-signature/1010750.html#ICID=HP%7CZ1%7CCTA1%7C3-14-2019&cgid=KS_Suiting&start=2
Low Stock Only 2 left,Product detail,Scarcity,Product Page,No,https://www.steinhafels.com/merchandise/product/details/summit-6-pc-power-recline-modular-242ZPK608
"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",Periodic popup,Social Proof,Product Page,No,https://www.stealthangelsurvival.com/products/compact-tactical-kit
2 left in stock,Product detail,Scarcity,Product Page,No,https://www.outerknown.com/products/ambassador-slim-fit-indigo-selvedge
"No Thanks, I don't like free stuff.",Popup,Misdirection,Product Page,No,https://www.lizardjuice.com/blue-ice-e-liquid-15-ml
167 piece(s) left for this promo,Product detail,Scarcity,Product Page,No,https://www.gearbest.com/3d-printers-3d-printer-kits/pp_009954647322.html?wid=1433363
,Shipping,Urgency,Product Page,No,https://www.brighterblooms.com
"1,446 people have viewed this item",Right side popup,Social Proof,Product Page,No,https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace
Hurry! Only 15 left!,Product detail,Scarcity,Product Page,No,https://www.dormify.com/products/colored-pen-set?variant=17980476162163
8 items left,Product detail,Scarcity,Product Page,No,https://www.harney.com/products/very-berry-matcha?variant=36631926470
7 people looked at this product in the last 24 hours.,Top left corner popup,Social Proof,Product Page,No,https://www.jsumo.com/ardupro-arduino-nano-robot-controller
ONLY 1 LEFT,Product detail,Scarcity,Product Page,No,https://www.justfab.co.uk
"No thanks, I don't like getting free stuff.",Popup,Misdirection,Product Page,No,https://faradayscienceshop.com/collections/frontpage/products/air-swimmer-the-remote-controlled-fish-blimp
00Days17Hours12Mins13Secs,Product detail. Resets.,Urgency,Product Page,Yes,https://screenguards.co.in/brand/vaku/vaku-r-electronic-muscle-abs-ems-stimulator1
Limited Time,Product detail,Urgency,Product Page,No,https://www.cyclingexpress.com/en/productdia/25925748/campagnolo-bora-one-50-ac3-clincher-carbon-road-wheelset.html
Only 1 item left in stock,Product detail,Scarcity,Product Page,No,https://www.voylla.com/products/oxidized-jhumka-earrings-with-mirrors
Only 3 left in stock,Product detail,Scarcity,Product Page,No,https://campfireaudio.com/shop/equinox/
"No thanks, I hate saving money",Popup,Misdirection,Product Page,No,https://pitstopusa.com/i-6313382-pyrotect-blue-iridium-sa2010-2015-helmet-shield.html
7 users have looked at this product in the past 6 minutes,Randomized,Social Proof,Product Page,Yes,https://www.budexpressnow.ca/product/pink-lady/
"No thanks, I don’t like fun and games.",Popup,Misdirection,Product Page,No,https://us.buywow.com/collections/hair-care/products/wow-10-in-1-hair-oil-no-parabens-or-mineral-oils-200-ml-6-8-fl-oz
"25,439 people have viewed this item",Right side popup,Social Proof,Product Page,No,https://retro-stage.com/products/1950s-lace-3-4-sleeve-swing-dress-1
404 Orders,Product detail,Social Proof,Product Page,No,https://indiarush.com/rayon-peach-stitched-embroidred-long-kurti-pc14/
No I don't feel lucky,Sidewheel popup,Misdirection,Product Page,No,https://www.squattypotty.com/shop/smell-better/unicorn-gold-2-oz/
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Top left corner popup,Social Proof,Product Page,No,https://www.centralvapors.com/diy-ejuice-kit/
Only 22 left in stock!,Product detail,Scarcity,Product Page,No,https://www.thehardwarehut.com/catalog-product.php?p_ref=292381
Only 1 item left!,Product detail,Scarcity,Product Page,No,https://www.boohooman.com/us/loose-fit-san-francisco-city-scape-t-shirt/MZZ53734.html?color=105
96 ITEM(S) LEFT IN STOCK!,Product detail,Scarcity,Product Page,No,https://fabriclore.com/collections/fab-wish-cards/products/fab-wish-card-10000
Only 20 left,Product detail,Scarcity,Product Page,No,https://www.nrastore.com/wiley-x-omega-polarized-ballistic-glasses
,Shipping,Urgency,Product Page,No,https://dankstop.com
"Jeremy in Stockton, United States purchased a",Periodic popup,Social Proof,Product Page,No,https://www.eightvape.com/collections/batteries-1/products/golisi-21700-3750mah-30a-battery-pack-of-2
"ONLY $1.99 FOR YOUR FIRST SIX MONTHS, THEN EACH YEAR YOUR MEMBERSHIP WILL AUTOMATICALLY RENEW FOR $39.99 AND BE CHARGED TO YOUR CREDIT/DEBIT CARD ON FILE. CANCEL YOUR VIP MEMBERSHIP ANY TIME TO RECEIVE A PRORATED REFUND BY CALLING (800) 543-7309. BY SUBMITTING YOUR ORDER, YOU AGREE TO THESE VIP MEMBERSHIP TERMS.",Call to cancel,Obstruction,Checkout Process,No,https://www.roadrunnersports.com/rrs/products/25566/mens-brooks-glycerin-17/
5 items left,Shown for all products. Product detail,Scarcity,Product Page,No,https://www.alpacadirect.com/products/berroco-ultra-alpaca?variant=12263364427866
Only 2 left in stock,Product detail,Scarcity,Product Page,No,https://jjmehta.com/shop/sony-cybershot-rx100-m5-digital-camera.html
Subscribe & Save (15%): $ 16.99,Subscription is default,Misdirection,Product Page,No,https://dazzlepro.com/collections/home-page/products/lumi-white-activated-charcoal-teeth-whitening
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,Below add to cart button. Hurrify.,Urgency,Product Page,Yes,https://ikigaisoul.com/products/ahi-hoodie
"No, I don't want a discount",Popup,Misdirection,Product Page,No,https://shopilovejewelry.com/collections/pajamas/products/monogram-girls-pink-striped-pajama-set
Limited quantity available,Product detail,Scarcity,Product Page,No,https://www.ebay.ca/itm/Latest-MacBook-Pro-15-Intel-6-Core-8th-Gen-i9-16GB-DDR4-2TB-SSD-Radeon-555X/323583520166?_trkparms=pageci%3A77bdfc1c-24e9-11e9-9161-74dbd1803c12%7Cparentrq%3Aa1297a3a1680aadc1eb08c76ffe409c4%7Ciid%3A1
,Same testimonials on https://www.ealerjerseys.com/Testimonials-n119798.html,Social Proof,Product Page,Yes,https://www.coolhockey.com/ca/customer-testimonials
Last 1 left,Product detail,Scarcity,Product Page,No,https://www.stefaniamode.com/tz/shopping/high-waist-trousers-13333637
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,Checkout Process,No,https://gopowear.com/collections/wallet-case/products/fashion-beautiful-dragon-wallet-case-sctk240401
Your order is reserved for 09:45 minutes!,Conversion Pirate. Resets.,Urgency,Checkout Process,Yes,https://www.tntonlife.com/collections/houseware-kitchen/products/leather-repair-kit1-set
,Not linked to anything but resets on each load.,Urgency,Product Page,No,https://www.aafnation.com
Only 14 left!,Product detail,Scarcity,Product Page,No,https://herschelsupplyco.co.uk/shop/travel/chapter-travel-kit-carry-on?v=10347-03186-OS
Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,Periodic popup,Social Proof,Product Page,No,https://www.naughtyboy.com.au/pharmquests-fistit-numbing-500-ml
HURRY! DON'T MISS THIS DEAL! DAYS 0 1 HRS 1 2 MINS 3 1 SECONDS,Resets.,Urgency,Product Page,Yes,https://www.motorcyclecloseouts.com/insanity/42499
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.eternityrose.com.au/gold-dipped-rose-red-matched-jewelry-set-in-leaf-theme
39 people have this in their cart,Product detail,Social Proof,Cart Page,No,https://www.overstock.ca/Home-Garden/Sleep-Zone-Huntington-10-inch-Split-California-King-size-Memory-Foam-Mattress-and-Adjustable-Bed-Set/15923853/product.html?refccid=SHQYBMI7HNTYT6CCRZBPK4ASWI&searchidx=6
No thanks. I prefer paying full price.,Popup,Misdirection,Product Page,No,https://www.mtdparts.com/equipment/ProductDisplay?storeId=10101&productId=1929593&urlRequestType=Base&langId=-1&catalogId=19502
Add on something to make it extra special!,Asked to buy more,Misdirection,Product Page,No,https://www.fnp.com/gift/colourful-mixed-roses-bouquet?pos=7&ia=y
Limited quantity remaining,Product detail,Scarcity,Product Page,No,https://www.ebay.ph/itm/CNY2019-Apple-iPhone-XS-256GB-Silver-5-8-Factory-Unlocked-Agsbeagle/283172208894?_trkparms=pageci%3A61c15e46-2598-11e9-bffd-74dbd18004bc%7Cparentrq%3Aa5a3cb7a1680aca48f76dc29ffe48162%7Ciid%3A1
232 people are viewing this offer!,Bottom left corner,Social Proof,Product Page,No,https://www.wsjwine.com/jsp/offer/recr/us/wsj/offer_temp6.jsp?offerId=90900137&promoCode=0033005&&campaignsrc=0033005&offer=fy19_q2/top12_q2q4_v2_tabbed/2BonusRedRaymond2Glasses/69/save185/spt_open
"No thanks, I will pay full price.",Popup,Misdirection,Product Page,No,https://www.marineshop.net/5-piece-wine-set-with-etched-ega-107841
"No thanks, I don't like free stuff",Popup,Misdirection,Product Page,No,https://www.annthegran.com/prd/designs/machine-embroidery-designs/christmas-labrador-retriever-head/1/39803.aspx
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,Popup; goes away after timer expires.,Urgency,Cart Page,No,https://shop.americantourister.com/luggage/hardside/american-tourister-trip-locker-spinner-trunk/119607XXXX.html?dwvar_119607XXXX_color=Dark%20Green#start=1
,Shipping,Urgency,Product Page,No,https://www.spartoo.co.uk
This is in 5 other carts.,Product detail hover,Social Proof,Product Page,No,https://www.fashionphile.com/louis-vuitton-damier-ebene-graceful-mm-341372
Selling Fast,Product detail. Shown for all products.,Scarcity,Product Page,No,https://dailysale.com
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.berrylook.com
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.mytruwood.com
